10000000 10000
3973698 8099411 229753
4641414 5887587 222760
3547414 9760137 102473
1288633 9379201 463464
1194439 7744939 360589
2475280 7676857 296177
4530897 9060009 52177
2410516 8972417 280585
858063 6297077 284902
3213874 5001448 216362
4545540 8705149 351561
30901 7968308 226703
1238710 5646743 280726
2693401 7546986 1592
1179936 7787935 480226
4948696 9015534 58449
112790 7863366 410397
379462 7522140 443269
3135828 6072202 224816
2410717 5272342 474864
1331794 9252884 397853
4762321 5493219 353810
2167653 8552761 198994
1721042 8925977 249624
1500791 9329307 99411
3476036 6039985 453443
3156323 5696802 360309
3922659 5009665 17626
1485445 9469005 332680
843928 8333743 279439
220863 8029078 449631
1132201 5932972 141325
3271827 9624930 80621
2513048 6258941 424651
778498 5692735 220465
3368597 9062433 135912
2174873 8901797 411276
1619927 6075358 104218
3830753 5655485 281484
4253696 6154821 361957
4181008 6605859 329475
3239191 8136311 298300
2873525 9092454 215740
2946392 5475443 228092
704060 6217529 9971
647553 5145983 145272
2881742 6461921 36858
573296 5846130 250178
3150611 5596354 250111
281923 8966777 64110
2183471 6127206 457620
846060 5550920 78310
685950 6232994 90680
3584786 6455908 61477
4050844 7803293 217808
3389072 7145140 117615
3511300 9681402 295548
794436 7371004 346550
3520343 6263705 370934
4339565 7676416 425180
1074767 6657136 250374
1943825 9876706 300220
2024242 6157431 329524
4745648 8146301 444576
2319183 9840545 141224
4793071 5995359 29057
4542854 6526944 101731
564559 7714257 423042
3475074 5961134 483229
1597968 9880015 63374
4542346 8239584 469936
89496 7041522 127830
4829150 9854121 456643
1899905 8328993 48023
2276616 6598505 423837
1366176 9708478 87426
4028238 5608163 254125
125672 7399938 391689
2656561 9146033 379950
615372 5598891 58904
4323872 7244252 215518
4672995 7998434 213624
4177687 7123500 488073
3884424 6131040 261331
4565000 6437838 477497
3114496 6421015 170065
4878595 7988526 236253
2795402 9949935 141625
862341 6845790 362013
4507878 5410919 478337
4507172 5521768 174731
1004426 7292450 309653
4102186 8961256 457654
2178119 9627242 151305
2411952 7080133 425419
2832841 5096697 331031
4254720 5356589 26518
3046150 8417492 287015
242383 9524713 116845
4081794 6027581 292977
4159056 9374244 168138
715252 9829912 464489
4697209 7842830 376681
1443962 7061942 55288
3649925 9436643 409777
3006250 9089392 380889
4978602 5816771 51385
3894440 6824064 361149
4414774 8970416 10191
3404555 6709249 359719
1351476 9246475 62410
2979145 8058949 435758
1743881 9455153 244839
3271905 6994149 325056
648122 9126742 119099
4718603 7078028 11444
3595835 7404212 83246
385946 9011657 491154
3237957 8869799 132869
1534171 7150262 461042
385414 5888932 168259
4002278 5946365 222720
1150454 6573899 498849
3264533 9525840 196544
119458 9394001 14180
4117174 9498131 10001
2517987 8641274 340143
1386960 6239628 411339
3464436 6341410 154436
292379 8870311 347607
882631 6786133 373051
3870604 5776786 189075
4428493 5620642 372673
1473025 9359493 179175
1140954 6351682 158690
477569 8045947 243912
3589009 8733100 183610
3103375 5388081 362332
3275143 7193071 455835
4138061 7339558 497224
3371137 8433661 383365
2929638 9617544 414800
4055620 5423466 27866
1312001 7376363 34560
1651739 5609693 322405
4190523 8516812 102561
3503619 9976931 484822
2856273 6777525 211877
685157 9826673 295681
1739417 8402309 5987
3591438 6430918 305683
1194975 5036277 67063
664529 8041320 75066
3301183 8459019 109072
4283450 5671743 321890
3444715 5552632 273755
171651 9913543 141405
2644635 9736169 436272
3161722 9782611 83181
4553121 7472674 5307
1811382 5051548 130078
3709224 6824165 53359
45276 6769696 382039
4522439 9078459 324483
728454 9186756 331661
690034 7189027 71203
3775128 9674106 289672
3907529 6248047 209025
1662607 6536865 279465
3220908 7745967 415870
2833611 5026538 164655
916587 8793628 496161
1170106 7038756 51066
945780 9427553 391166
4041804 9860364 415785
4784338 8409931 286987
4845024 8106747 298981
170731 9174436 341910
1791518 6435724 230855
3471287 9739081 43842
4388560 9597663 59520
1077051 8253976 431681
1923148 9174661 333844
4758834 6690264 432996
1891060 6856837 4557
2034927 9724765 63275
3955290 8044223 395004
167399 6877318 458944
3175064 7622887 360683
3635249 5241593 437412
1359903 7758604 444657
3856920 8449447 123808
3147155 8241270 21103
903467 6765914 187274
2740600 6598535 362895
4640911 9913381 125852
2751622 6526374 371321
136964 7681917 60057
168735 6247920 411048
1121838 5318717 364543
4354058 5509470 363723
593533 5485816 129050
4146595 7951919 286722
1158813 5712845 236674
4614127 8996227 463260
1237617 9144922 449038
4933241 5891051 425156
3494871 8193680 437546
4482343 9945000 166962
1259247 5202360 152061
1982391 6667087 148153
1006105 7044788 36231
2568841 7769180 211350
4472892 8603788 297607
2301928 5342114 471476
609328 5243915 495955
2239290 5330648 124296
4477168 9311359 163247
